id,name,uri,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
240ElV9j5kjT14OR8RPMoZ,Cavalier,spotify:track:240ElV9j5kjT14OR8RPMoZ,"James Vincent McMorrow, ",0.904,0.332,0.297,0.000126,0.222,-8.244,0.0497,85.245,0.0396
5Lt0L3Hc2eSZXPIOGWXcd8,Leave A Trace - Goldroom Remix,spotify:track:5Lt0L3Hc2eSZXPIOGWXcd8,"CHVRCHES, ",0.168,0.722,0.789,0.0177,0.0913,-5.484,0.041,112.001,0.0469
4ZkVOb0mNnm3MFY2LeyqHY,Poison,spotify:track:4ZkVOb0mNnm3MFY2LeyqHY,"Martin Garrix, ",0.00429,0.502,0.756,0.769,0.377,-6.118,0.0363,128.125,0.0605
4zzVVVW5qjEevwa6T51C0O,Without You (Alternate Version),spotify:track:4zzVVVW5qjEevwa6T51C0O,"Tobias Jesso Jr., ",0.815,0.513,0.422,0.00142,0.0858,-9.261,0.0267,131.045,0.0765
0Mmxjqkd9GU2tE3Mq4BZm3,Million Voices - Radio Edit,spotify:track:0Mmxjqkd9GU2tE3Mq4BZm3,"Otto Knows, ",0.00302,0.583,0.871,0.0196,0.0843,-6.246,0.0405,126,0.0765
02iZJRlOZ7VRbzO8uVdOva,In the Stream,spotify:track:02iZJRlOZ7VRbzO8uVdOva,"S. Carey, ",0.951,0.462,0.244,0.173,0.12,-16.96,0.029,100.142,0.0783
0TGZE5GTnoljbhWjJe8IU2,Feel Right,spotify:track:0TGZE5GTnoljbhWjJe8IU2,"Wolfgang Gartner, J Hart, ",0.00671,0.504,0.877,0,0.093,-4.077,0.0478,128.107,0.0844
3dtrI8OOHWxMyg6EHNecdt,Gramercy Sunset,spotify:track:3dtrI8OOHWxMyg6EHNecdt,"The Hot Sardines, ",0.886,0.466,0.0753,0.927,0.0984,-18.864,0.0297,87.791,0.0877
4XFhI7YMNLz82G6V17UzZM,Hakuna Matata - Hardwell Radio Edit,spotify:track:4XFhI7YMNLz82G6V17UzZM,"R3hab, Hardwell, ",0.000532,0.666,0.93,0.374,0.397,-1.301,0.0496,127.967,0.0886
7nb2hZWBxeG38lwcRjFqn4,You Are So Beautiful,spotify:track:7nb2hZWBxeG38lwcRjFqn4,"Joe Cocker, ",0.86,0.387,0.182,0.00255,0.0962,-10.815,0.0311,121.903,0.0894
7GDbkrFBGrCb8ntbQPY3hQ,17,spotify:track:7GDbkrFBGrCb8ntbQPY3hQ,"Youth Lagoon, ",0.844,0.352,0.254,0.58,0.108,-8.51,0.0473,79.989,0.0916
6kzi5LTg5uECin8pC34nxV,Montezuma,spotify:track:6kzi5LTg5uECin8pC34nxV,"Fleet Foxes, ",0.854,0.314,0.308,0.0117,0.0993,-9.117,0.0283,99.214,0.0989
5IPIpXq8znsSOybCsbd88v,Wolves,spotify:track:5IPIpXq8znsSOybCsbd88v,"Phosphorescent, ",0.943,0.331,0.288,0.00453,0.0756,-11.067,0.0311,130.752,0.0993
7oDjaRDdf9zNQ8N3yRjQwF,Feeling Good,spotify:track:7oDjaRDdf9zNQ8N3yRjQwF,"Avicii, ",0.318,0.394,0.581,0,0.112,-5.489,0.0397,100.092,0.0995
5OgKYf0pK46xk36olPiLZW,Unbroken,spotify:track:5OgKYf0pK46xk36olPiLZW,"Quintino, Yves V, Gia Koka, ",0.000466,0.567,0.772,0.0000325,0.254,-4.261,0.0582,128.073,0.0997
5BIjJP1zlOa3iY65RSkXkr,Nevada (feat. Cozi Zuehlsdorff),spotify:track:5BIjJP1zlOa3iY65RSkXkr,"Vicetone, Cozi Zuehlsdorff, ",0.299,0.605,0.783,0.000175,0.133,-4.271,0.0324,124.015,0.102
5vGpdYEtZbiBVq1dT6SCqI,Home,spotify:track:5vGpdYEtZbiBVq1dT6SCqI,"Max Jury, ",0.377,0.518,0.328,0.0989,0.1,-10.401,0.0273,123.128,0.103
1JxNWpK9xTWKRPoYTIX4Qk,Another Story,spotify:track:1JxNWpK9xTWKRPoYTIX4Qk,"The Head and the Heart, ",0.546,0.352,0.45,0.127,0.283,-9.881,0.0293,86.937,0.111
4rzWrb9KT2v71cyuHhcbJY,Where Are You Now,spotify:track:4rzWrb9KT2v71cyuHhcbJY,"Mumford & Sons, ",0.662,0.525,0.352,0.00000349,0.0872,-10.004,0.0426,83.908,0.117
6Vm5yxajBiFVA8iEH2uU3z,Vera Cruz,spotify:track:6Vm5yxajBiFVA8iEH2uU3z,"Milton Nascimento, ",0.454,0.328,0.354,0.0798,0.596,-11.128,0.0325,120.022,0.119
4oEcoHOoHYAErA3Tbc0EoW,Blast off - Radio Edit,spotify:track:4oEcoHOoHYAErA3Tbc0EoW,"David Guetta, Kaz James, ",0.00255,0.656,0.993,0.00000249,0.197,-1.702,0.18,127.938,0.121
7oVqltDjGX62BtvbTLF8qY,Atrás Da Porta / Canção Do Amanhecer,spotify:track:7oVqltDjGX62BtvbTLF8qY,"Nana Caymmi, ",0.792,0.371,0.298,0.0533,0.143,-14.939,0.0328,108.82,0.122
15uTxjdvNnV6U5u5L4vpnM,Mightiest of Guns,spotify:track:15uTxjdvNnV6U5u5L4vpnM,"A.A. Bondy, ",0.879,0.236,0.16,0.0265,0.194,-16.868,0.035,169.025,0.122
3efYhFCibQlRplX1OP1924,Bang My Head - Radio Version,spotify:track:3efYhFCibQlRplX1OP1924,"Sweetfire, ",0.719,0.641,0.301,0.0000408,0.126,-8.309,0.0278,87.984,0.124
5R9BaUKPIPBBadJSbB5knl,Dinosaur Sex,spotify:track:5R9BaUKPIPBBadJSbB5knl,"Emmy The Great, ",0.122,0.398,0.197,0.0451,0.108,-13.613,0.0298,97.937,0.124
6FOyzhp375u8DapDyQqGTh,Tiger Striped Sky,spotify:track:6FOyzhp375u8DapDyQqGTh,"Roo Panes, ",0.944,0.473,0.317,0.0124,0.11,-10.324,0.0318,139.899,0.125
306DlsO3OgFYsFZCfZzlBW,Takes My Body Higher (feat. Lincoln Jesser),spotify:track:306DlsO3OgFYsFZCfZzlBW,"Shoffy, Lincoln Jesser, ",0.238,0.71,0.732,0,0.146,-5.266,0.0381,125.032,0.126
5Szn0p3DlnawyuhX8ULCg4,Orange Sky,spotify:track:5Szn0p3DlnawyuhX8ULCg4,"Alexi Murdoch, ",0.797,0.685,0.15,0.0461,0.1,-20.543,0.039,124.956,0.128
4gzQbZfEW3CPylBaADpVGy,Move - Original Mix,spotify:track:4gzQbZfEW3CPylBaADpVGy,"Sidney Samson, ",0.000409,0.778,0.906,0.373,0.078,-4.593,0.138,128.001,0.131
0H9k5RFDiHzL0WTPBk7Xz8,I Never Learn,spotify:track:0H9k5RFDiHzL0WTPBk7Xz8,"Lykke Li, ",0.224,0.297,0.43,0.000686,0.228,-6.828,0.0377,119.943,0.133
3i508xSmrzqtAGl6wYPGae,Something In The Air,spotify:track:3i508xSmrzqtAGl6wYPGae,"The Jepettos, ",0.265,0.442,0.542,0.0788,0.14,-10.604,0.0304,149.813,0.133
4ailHqDa2ThPlIsChM6neH,Roads,spotify:track:4ailHqDa2ThPlIsChM6neH,"Chris Mann, ",0.255,0.331,0.539,0,0.125,-5.005,0.0323,128.306,0.134
3jPiv3uw7BUSkhdOuxUxkq,Museum of Flight,spotify:track:3jPiv3uw7BUSkhdOuxUxkq,"Damien Jurado, ",0.708,0.61,0.401,0.0057,0.11,-9.844,0.0345,110.164,0.136
12ZQdr6Ir1x6QByyPdJg9W,Bowser - Original Mix,spotify:track:12ZQdr6Ir1x6QByyPdJg9W,"W&W, Blasterjaxx, ",0.00689,0.616,0.983,0.838,0.087,-3.947,0.0882,128.033,0.136
2pV8RpdLemcyMWko8dASVt,Like I'm Gonna Lose You,spotify:track:2pV8RpdLemcyMWko8dASVt,"Jasmine Thompson, ",0.958,0.398,0.174,0.00000416,0.158,-11.16,0.0364,172.152,0.137
53hXLQsByJC4B3UCNcmh0E,We Will Become Silhouettes,spotify:track:53hXLQsByJC4B3UCNcmh0E,"The Postal Service, ",0.0302,0.588,0.569,0.0639,0.172,-8.044,0.0326,154.989,0.137
5rP9Weh1uFtlyRGqnzyQnd,Towers,spotify:track:5rP9Weh1uFtlyRGqnzyQnd,"Bon Iver, ",0.945,0.35,0.334,0.703,0.273,-12.412,0.0323,91.592,0.139
4O3xKdYhFhmtfptnzmbARN,Lethal Industry,spotify:track:4O3xKdYhFhmtfptnzmbARN,"Sunnery James & Ryan Marciano, ",0.00363,0.594,0.924,0.94,0.375,-4.568,0.123,128.003,0.145
0yYQiBauQagFpQmEnVnNuB,This Is Love - King Arthur Remix,spotify:track:0yYQiBauQagFpQmEnVnNuB,"Tritonal, Chris Ramos, Shanahan, King Arthur, ",0.000283,0.614,0.884,0.818,0.164,-4.754,0.0334,125.993,0.146
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber, ",0.0771,0.652,0.713,0.0000102,0.144,-5.311,0.0368,100.023,0.147
30DsuDsNq26rCn30NNzoH6,If It Ain't Dutch,spotify:track:30DsuDsNq26rCn30NNzoH6,"Armin van Buuren, W&W, ",0.00481,0.547,0.968,0.0714,0.419,-3.956,0.258,132.106,0.147
04Ojun9jaS6U7HTwRIoRf3,Green Aphrodisiac,spotify:track:04Ojun9jaS6U7HTwRIoRf3,"Corinne Bailey Rae, ",0.687,0.558,0.505,0.000761,0.102,-7.614,0.0314,135.958,0.148
6jmTQwFzejCurofZDz7x9k,Off The Hook,spotify:track:6jmTQwFzejCurofZDz7x9k,"Hardwell, Armin van Buuren, ",0.0113,0.705,0.951,0.503,0.346,-3.754,0.0743,129.967,0.15
4fbvXwMTXPWaFyaMWUm9CR,Holocene,spotify:track:4fbvXwMTXPWaFyaMWUm9CR,"Bon Iver, ",0.943,0.375,0.304,0.303,0.126,-14.52,0.0302,147.989,0.151
7M8jtZQTPhPK6EgwcOgujM,Brandy Alexander,spotify:track:7M8jtZQTPhPK6EgwcOgujM,"Feist, ",0.431,0.629,0.171,0.003,0.225,-10.845,0.0355,70.087,0.152
2bd7KLt028ssKE0K0WYWXl,Break Through The Silence - Radio Edit,spotify:track:2bd7KLt028ssKE0K0WYWXl,"Martin Garrix, Matisse & Sadko, ",0.00289,0.573,0.95,0.00119,0.299,-5.167,0.0666,128.013,0.155
64KUUPwr6in5H463iqw1P8,Eu Sei Que Vou Te Amar / O Bem e o Mal,spotify:track:64KUUPwr6in5H463iqw1P8,"Nana Caymmi, ",0.866,0.378,0.245,0.0125,0.159,-15.282,0.0284,79.999,0.157
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,spotify:track:23L5CiUhw2jV1OIMwthR3S,"Martin Garrix, Bebe Rexha, ",0.109,0.501,0.519,0,0.454,-5.88,0.0409,133.99,0.157
5REdxRARKVoJuZppmwglN4,Solid Ground,spotify:track:5REdxRARKVoJuZppmwglN4,"Alex Vargas, ",0.512,0.372,0.487,0.000212,0.192,-7.165,0.0432,108.43,0.159
1bpAGufvAgqEIob4V1k7mP,Nervous,spotify:track:1bpAGufvAgqEIob4V1k7mP,"Gavin James, ",0.375,0.543,0.673,0.0000765,0.127,-10.046,0.0384,83.102,0.159
4H8RGVaLYBL7uM0KTS50WK,Try,spotify:track:4H8RGVaLYBL7uM0KTS50WK,"Escondido, ",0.773,0.282,0.456,0.00557,0.11,-10.705,0.0333,127.975,0.159
3QVmVa40Q82OupvrhhVgPL,Chicago (acoustic version),spotify:track:3QVmVa40Q82OupvrhhVgPL,"Sufjan Stevens, ",0.961,0.583,0.379,0.0125,0.144,-11.224,0.0284,125.267,0.16
2WOpBtXX02RS4UCzBholDq,I Don't Want To Change You,spotify:track:2WOpBtXX02RS4UCzBholDq,"Damien Rice, ",0.472,0.41,0.306,0.0000328,0.12,-9.704,0.0348,141.565,0.161
0E6r8RJJE0WgS5GGsAIuBO,Nothing Has Ever Felt Like This,spotify:track:0E6r8RJJE0WgS5GGsAIuBO,"Rachelle Ferrell, ",0.336,0.417,0.236,0.00000619,0.0682,-17.719,0.0346,110.569,0.163
2lnQcP5hr4RKR63TFvnI4k,Overjoyed,spotify:track:2lnQcP5hr4RKR63TFvnI4k,"Stevie Wonder, ",0.552,0.367,0.271,0,0.147,-17.318,0.0316,83.078,0.163
1vRXhOBDrznl2npy73RitV,Rooms,spotify:track:1vRXhOBDrznl2npy73RitV,"Audien, ",0.0145,0.633,0.918,0.0236,0.176,-2.508,0.0481,127.941,0.164
6PCf10OiKJyah7OkiIzrEF,I Am Not Waiting Anymore,spotify:track:6PCf10OiKJyah7OkiIzrEF,"Field Report, ",0.785,0.447,0.262,0.000135,0.122,-9.218,0.036,80.59,0.166
1mwwueuXt5NPPtnJyswwA9,My Baby Don't Understand Me,spotify:track:1mwwueuXt5NPPtnJyswwA9,"Natalie Prass, ",0.847,0.514,0.263,0.000273,0.0806,-10.391,0.0388,139.958,0.166
39PrQCuTLOgApfoGPKDdnc,Tearing Me Up - Radio Edit,spotify:track:39PrQCuTLOgApfoGPKDdnc,"Bob Moses, ",0.121,0.676,0.488,0,0.111,-7.455,0.0531,115.019,0.168
31MfvCnUGsgaNaRBki67Iz,Wildfire,spotify:track:31MfvCnUGsgaNaRBki67Iz,"Thomas Newson, ",0.0174,0.574,0.953,0.776,0.566,-4.634,0.0499,127.972,0.168
7rR5X9RKz5VprclstYOLb5,Breakers Roar,spotify:track:7rR5X9RKz5VprclstYOLb5,"Sturgill Simpson, ",0.669,0.369,0.31,0.514,0.245,-13.384,0.0309,84.41,0.173
7w9qIugZIij4NGIBmNpp3P,Like Real People Do,spotify:track:7w9qIugZIij4NGIBmNpp3P,"Hozier, ",0.885,0.568,0.163,0.0000643,0.106,-13.368,0.0276,140.008,0.173
2TcZ05FR0xQWZOaFWyRWUt,L'Amour Toujours - Tiësto Radio Edit,spotify:track:2TcZ05FR0xQWZOaFWyRWUt,"Dzeko & Torres, Delaney Jane, ",0.00763,0.591,0.931,0.000216,0.153,-2.867,0.0967,129.975,0.174
228IDYsx1EAHiuh9xLktmj,America,spotify:track:228IDYsx1EAHiuh9xLktmj,"First Aid Kit, ",0.871,0.27,0.329,0.00000891,0.12,-7.318,0.032,163.236,0.179
7fjlZORAc9O4Ye8UDKPcja,Temptation,spotify:track:7fjlZORAc9O4Ye8UDKPcja,"Still Young, Simon De Jano, Madwill, ",0.00278,0.542,0.988,0.173,0.227,-3.788,0.0536,127.955,0.179
5jJnlACnwFvyqNXmUZu8Nd,False Alarm,spotify:track:5jJnlACnwFvyqNXmUZu8Nd,"Matoma, Becky Hill, ",0.00681,0.643,0.732,0.0000457,0.0606,-6.762,0.0294,102.979,0.182
5JhtfNV7PsT5L5nrIJ4IUp,Dandelion,spotify:track:5JhtfNV7PsT5L5nrIJ4IUp,"Kacey Musgraves, ",0.359,0.581,0.505,0.00131,0.131,-10.104,0.0312,79.322,0.183
04xv54hUEufXk0GVTSQ5C9,U Are,spotify:track:04xv54hUEufXk0GVTSQ5C9,"Paul Oakenfold, Amba Shepherd, BRKLYN, ",0.0313,0.501,0.74,0,0.337,-5.125,0.0569,127.97,0.187
4mKaGkUNWrbDtvTl7sZDkt,Can't Forget You (ft. The Nicholas),spotify:track:4mKaGkUNWrbDtvTl7sZDkt,"San Holo, The Nicholas, ",0.00283,0.556,0.76,0.00741,0.364,-5.291,0.0482,131.983,0.19
4LUu3bMpuxHjwPLj84rNSx,Mirror Maru,spotify:track:4LUu3bMpuxHjwPLj84rNSx,"Cashmere Cat, ",0.352,0.781,0.718,0.552,0.0981,-6.559,0.0394,129.956,0.191
4QQ7Xcd40mLpMyjemaFAB9,Dechorro,spotify:track:4QQ7Xcd40mLpMyjemaFAB9,"Deorro, ",0.00465,0.77,0.837,0.115,0.122,-3.978,0.0696,127.989,0.191
5ScluzC21KyxPqnRB3Zjup,Get on Up,spotify:track:5ScluzC21KyxPqnRB3Zjup,"Jauz, Pegboard Nerds, ",0.0185,0.651,0.894,0.0000893,0.0745,-3.38,0.0585,128.041,0.192
4LMlviHZfDUXWIZhvGEAKi,Young,spotify:track:4LMlviHZfDUXWIZhvGEAKi,"Frankie Cosmos, ",0.439,0.495,0.362,0.0000167,0.127,-8.737,0.0539,104.937,0.193
7qzqcfLHBAUherRXgW4Ul7,Amy,spotify:track:7qzqcfLHBAUherRXgW4Ul7,"Ryan Adams, ",0.836,0.506,0.0821,0.0000917,0.123,-19.236,0.0363,123.745,0.194
4034xiU9Va9uI771cmkhBM,Party People 2K15,spotify:track:4034xiU9Va9uI771cmkhBM,"Ralvero, ",0.00347,0.546,0.988,0.505,0.375,-2.331,0.105,127.948,0.194
3I8PF8Xx9JcHbLhKqEdKgW,Till The Sun Comes Up,spotify:track:3I8PF8Xx9JcHbLhKqEdKgW,"Gavin James, ",0.893,0.457,0.21,0,0.0816,-12.284,0.0339,127.979,0.197
7aUQKqlFwXVxWgEiIfargD,Morphine,spotify:track:7aUQKqlFwXVxWgEiIfargD,"Thomas Gold, Lush & Simon, ",0.0654,0.538,0.833,0.00167,0.685,-4.138,0.055,127.976,0.197
5jAKG8v1Xo3hOqcZwgZ22Y,The Other Part of Me,spotify:track:5jAKG8v1Xo3hOqcZwgZ22Y,"Lillie McCloud, ",0.00708,0.569,0.529,0,0.106,-6.914,0.0315,123.922,0.199
0jp1YFgWn67BtAVDZRaSqM,Detectorists (Original Soundtrack from the TV Series),spotify:track:0jp1YFgWn67BtAVDZRaSqM,"Johnny Flynn, ",0.361,0.419,0.233,0.00135,0.11,-11.194,0.0317,106.08,0.205
2M71Inc9camxaIGtmQ6I87,"All of Me (feat. Logic, ROZES)",spotify:track:2M71Inc9camxaIGtmQ6I87,"Big Gigantic, Logic, ROZES, ",0.00189,0.628,0.877,0,0.228,-3.016,0.041,142.034,0.205
5YRDLHIgHRUbXP5kmQTpKg,Another Chance - Above & Beyond Club Mix ABGT Mix,spotify:track:5YRDLHIgHRUbXP5kmQTpKg,"Above & Beyond, Oceanlab, ",0.0282,0.297,0.6,0.000404,0.464,-9.097,0.0409,128.07,0.205
3yoNx32KYIWl6usnkZ7cBR,Doppler,spotify:track:3yoNx32KYIWl6usnkZ7cBR,"Madison Mars, ",0.00442,0.442,0.892,0.381,0.04,-2.762,0.0614,125.869,0.206
5P6ZBMWS66FVo6deJaDdHy,Dust to Dust,spotify:track:5P6ZBMWS66FVo6deJaDdHy,"The Civil Wars, ",0.745,0.747,0.265,0.0169,0.11,-14.141,0.0354,138.017,0.208
4Z1t1aMRif8ES212kTN8H2,Whole Heart,spotify:track:4Z1t1aMRif8ES212kTN8H2,"Gryffin, Bipolar Sunshine, ",0.0427,0.5,0.677,0.0000132,0.171,-7.237,0.0869,163.951,0.208
3UAJsFLo2Bx6IEof6xPyBn,Never Giving Up,spotify:track:3UAJsFLo2Bx6IEof6xPyBn,"Tom Swoon, ",0.00244,0.514,0.753,0,0.107,-7.536,0.0654,128.063,0.209
4tRLfSHpbjlIjV97RPWr9Y,Sex,spotify:track:4tRLfSHpbjlIjV97RPWr9Y,"Cheat Codes, Kris Kross Amsterdam, ",0.00451,0.51,0.692,0,0.138,-5.825,0.171,102.42,0.21
1QDnmfye4v7yZ7RBPFjzXT,I Could Be The One - Noonie Bao Acoustic Mix,spotify:track:1QDnmfye4v7yZ7RBPFjzXT,"Avicii, Nicky Romero, ",0.931,0.346,0.316,0.0000653,0.0935,-10.266,0.0375,202.991,0.212
3MUYNYanSRUNJTJND4BW6Z,Sun Out,spotify:track:3MUYNYanSRUNJTJND4BW6Z,"Eric Reed, ",0.82,0.497,0.365,0.803,0.0846,-14.489,0.0476,123.472,0.213
25J4d78ESH2MgAJoIakB8O,Lost In The Light,spotify:track:25J4d78ESH2MgAJoIakB8O,"Bahamas, ",0.804,0.601,0.262,0.0012,0.111,-8.743,0.0344,76.349,0.213
4KH2V5CGcMeWFI7AciTmbZ,Kids,spotify:track:4KH2V5CGcMeWFI7AciTmbZ,"OneRepublic, ",0.0144,0.599,0.733,0,0.347,-6.072,0.0415,100,0.215
4bU1Jfv68V1Ea9Zro51J2o,Silhouette,spotify:track:4bU1Jfv68V1Ea9Zro51J2o,"Goldroom, ",0.0804,0.702,0.651,0.11,0.121,-7.072,0.037,114.984,0.215
5cNy5tzvHFiOXZMjFjhh4S,Halo,spotify:track:5cNy5tzvHFiOXZMjFjhh4S,"Codeko, Envy Monroe, ",0.017,0.588,0.969,0.0218,0.369,-2.577,0.0518,127.961,0.216
6Z6apKp8CAta4BwlrrwlxO,All The Joy,spotify:track:6Z6apKp8CAta4BwlrrwlxO,"Moonchild, ",0.843,0.656,0.217,0.0000043,0.296,-13.725,0.0538,90.065,0.217
408FKTb5iuLm0f978MOfxF,Hands,spotify:track:408FKTb5iuLm0f978MOfxF,"Gareth Emery, Alastor, London Thor, ",0.0227,0.549,0.767,0.000207,0.165,-5.836,0.069,128.046,0.218
64BbRFQBFPpSKhmCZ5w7K1,How Many,spotify:track:64BbRFQBFPpSKhmCZ5w7K1,"W&W, ",0.04,0.554,0.884,0.000225,0.132,-3.548,0.108,128.036,0.218
3FZEv9JddkjHNFiMVxJYpS,Carry Me,spotify:track:3FZEv9JddkjHNFiMVxJYpS,"Kygo, Julia Michaels, ",0.486,0.621,0.551,0,0.115,-7.89,0.0474,105.052,0.22
1JmLA5HZ7Wp7L8DNctLpUW,Nana,spotify:track:1JmLA5HZ7Wp7L8DNctLpUW,"The 1975, ",0.779,0.686,0.288,0.00304,0.115,-11.533,0.03,111.036,0.221
0bZ52QzCCKfrfOqs7za6lI,Cherry Wine - Live,spotify:track:0bZ52QzCCKfrfOqs7za6lI,"Hozier, ",0.951,0.415,0.11,0.00236,0.0962,-14.901,0.0388,81.876,0.224
4QPDhJZOme7hpreUuOSLWE,Be As You Are - JordanXL Remix,spotify:track:4QPDhJZOme7hpreUuOSLWE,"Mike Posner, ",0.0608,0.664,0.692,0,0.216,-5.49,0.0495,169.906,0.225
2ndDU6TV6NwgaF4k5i9j4u,Corcovado (Quiet Nights Of Quiet Stars),spotify:track:2ndDU6TV6NwgaF4k5i9j4u,"Miles Davis, Gil Evans & His Orchestra, ",0.886,0.41,0.153,0.833,0.488,-14.374,0.0358,121.476,0.226
2CPqh63wRVscbceKcPxwvv,The Ocean,spotify:track:2CPqh63wRVscbceKcPxwvv,"Mike Perry, Shy Martin, ",0.0225,0.632,0.575,0.00000181,0.104,-6.478,0.029,90.037,0.229
6ciGkYEEqNtesCLLKxeobq,Freefall - Manse Remix,spotify:track:6ciGkYEEqNtesCLLKxeobq,"Armin van Buuren, BullySongs, Manse, ",0.0931,0.409,0.633,0.00000138,0.534,-6.402,0.0401,128.067,0.23
7I7LzsOIMxsFZ3B8nDDG7y,Elation,spotify:track:7I7LzsOIMxsFZ3B8nDDG7y,"Isbells, ",0.851,0.563,0.275,0.0022,0.0738,-12.969,0.0461,82.528,0.231
5RxuKBx2xAa4ZG54ueQKjF,On My Way - Mercer Remix,spotify:track:5RxuKBx2xAa4ZG54ueQKjF,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso, ",0.000214,0.602,0.963,0.0184,0.179,-3.04,0.355,128.022,0.231
0YOOXnCJihgyluizqhAcrz,Fare Thee Well (Dink's Song),spotify:track:0YOOXnCJihgyluizqhAcrz,"Oscar Isaac, Marcus Mumford, ",0.897,0.495,0.434,0.000393,0.109,-8.079,0.0313,82.16,0.232
6J3s6AGnetL5BfIXNZV3OV,Police,spotify:track:6J3s6AGnetL5BfIXNZV3OV,"Tony Junior, JETFIRE, Rivero, ",0.00586,0.559,0.977,0.00819,0.0524,-2.74,0.0624,128.019,0.232
0aEcArQsqTpErHdixEVaHj,Killer Joe,spotify:track:0aEcArQsqTpErHdixEVaHj,"Benny Golson, ",0.793,0.532,0.369,0.00609,0.0819,-10.255,0.0407,120.192,0.233
1AIYrVHnHDGB4eiC1S2PmA,The Journey,spotify:track:1AIYrVHnHDGB4eiC1S2PmA,"Feint, Veela, ",0.00281,0.48,0.626,0.0222,0.172,-6.279,0.0538,172.041,0.233
1fDm1kCj6dwmviArCtCsOA,Distance And Time,spotify:track:1fDm1kCj6dwmviArCtCsOA,"Alicia Keys, ",0.378,0.45,0.434,0.00236,0.108,-8.952,0.0295,139.544,0.234
1GiSUMdpL8dFUQaF6hogaZ,I Get Up,spotify:track:1GiSUMdpL8dFUQaF6hogaZ,"Autoerotique, ",0.000307,0.586,0.916,0.773,0.322,-5.64,0.0467,123.978,0.234
1Hk0QRlUFCHYG6zIvUh0Xd,Summer,spotify:track:1Hk0QRlUFCHYG6zIvUh0Xd,"Marshmello, ",0.00695,0.583,0.748,0.0241,0.22,-4.798,0.0292,142.029,0.234
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,"Joel Adams, ",0.0118,0.513,0.768,0.0000194,0.294,-4.868,0.0587,84.264,0.235
5rZXBHUU2qz7huEckTwpqo,High Hopes,spotify:track:5rZXBHUU2qz7huEckTwpqo,"Kodaline, ",0.577,0.488,0.487,0,0.193,-6.371,0.0307,77.344,0.235
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,"Joel Adams, ",0.0118,0.513,0.768,0.0000194,0.294,-4.868,0.0587,84.264,0.235
1KKdndYJj8eb5K6bDiNj0Q,More Than Ever,spotify:track:1KKdndYJj8eb5K6bDiNj0Q,"Breathe Carolina, Ryos, ",0.00305,0.463,0.798,0.000196,0.137,-4.454,0.0609,128.031,0.239
104Rq6Oh9cRttOFKVPiVmo,Heroes - Acoustic Version,spotify:track:104Rq6Oh9cRttOFKVPiVmo,"Hamilton, ",0.949,0.682,0.13,0.00000263,0.093,-12.496,0.0342,111.85,0.24
1emvYBqAWFPpFUQyhBG9He,I'd Give My Life For You - Alternate Mix,spotify:track:1emvYBqAWFPpFUQyhBG9He,"Marvin Gaye, ",0.398,0.269,0.426,0,0.275,-8.179,0.0351,83.152,0.243
5dIGWhOYRiCAIMoDjimCAn,Carried Away,spotify:track:5dIGWhOYRiCAIMoDjimCAn,"Carl Broemel, ",0.546,0.595,0.345,0.321,0.103,-11.285,0.0278,124.646,0.244
1eftIypOTzVCDPv9xLZPDN,Only You (with James Corden),spotify:track:1eftIypOTzVCDPv9xLZPDN,"Kylie Minogue, James Corden, ",0.897,0.49,0.294,0,0.111,-10.154,0.0264,94.987,0.245
6vJ0Fezf6Etha2C4H21FKO,Cool Girl,spotify:track:6vJ0Fezf6Etha2C4H21FKO,"Tove Lo, ",0.351,0.667,0.72,0.00000426,0.138,-7.026,0.11,101.964,0.249
30fUMnf2FI00EVTMRhOHhb,Higher Love,spotify:track:30fUMnf2FI00EVTMRhOHhb,"James Vincent McMorrow, ",0.958,0.317,0.162,0.0000463,0.111,-14.596,0.0608,169.304,0.251
0GBcfTDD4OjGTGeVVgFl8v,Suffering,spotify:track:0GBcfTDD4OjGTGeVVgFl8v,"The War On Drugs, ",0.692,0.54,0.333,0.436,0.108,-10.738,0.0349,137.674,0.252
2Mh0jU5IyRTQfpyMnvki5Z,Let You Go - Radio Edit,spotify:track:2Mh0jU5IyRTQfpyMnvki5Z,"The Chainsmokers, Great Good Fine Ok, ",0.276,0.59,0.887,0,0.0798,-2.851,0.0928,126.029,0.253
65tH2GPMFCt8JtM2PM3MiX,Morning,spotify:track:65tH2GPMFCt8JtM2PM3MiX,"Beck, ",0.473,0.552,0.359,0.0545,0.126,-9.883,0.0254,113.581,0.254
6y0igZArWVi6Iz0rj35c1Y,Never Be Like You (feat. Kai),spotify:track:6y0igZArWVi6Iz0rj35c1Y,"Flume, Kai, ",0.446,0.54,0.59,0,0.14,-4.359,0.0528,119.878,0.254
